timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-41-45,12.9,82.0,55.2,278,276246685787227
2025-10-24_09-42-04,8.6,81.9,55.2,276,276246685787227
2025-10-24_09-42-22,6.6,81.5,55.2,277,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-41-45,12.9,82.0,55.2,278,276246685787227
2025-10-24_09-42-04,8.6,81.9,55.2,276,276246685787227
2025-10-24_09-42-22,6.6,81.5,55.2,277,276246685787227
2025-10-24_09-42-41,14.0,81.7,55.2,278,276246685787227
2025-10-24_09-40-58,6.1,81.9,55.2,279,276246685787227
2025-10-24_09-41-22,10.9,81.8,55.2,279,276246685787227
2025-10-24_09-41-45,12.9,82.0,55.2,278,276246685787227
2025-10-24_09-42-04,8.6,81.9,55.2,276,276246685787227
